date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
12/20/2020,MI,12074,11461,0,613,,,3284,0,,758,7203578,0,,,7203578,,466,496056,458852,0,0,,,,,583103,284731,,0,7699634,0,409456,,,,,0,7786681,0
12/19/2020,MI,12074,11461,206,613,,,3284,0,,758,7203578,56985,,,7203578,,466,496056,458852,4181,0,,,,,583103,284731,,0,7699634,61166,409456,,,,,0,7786681,62678
12/18/2020,MI,11868,11274,67,594,,,3284,0,,758,7146593,46288,,,7146593,,466,491875,454956,4519,0,,,,,577410,236369,,0,7638468,50807,405263,,,,,0,7724003,50919
12/17/2020,MI,11801,11212,213,589,,,3395,0,,780,7100305,48529,,,7100305,,461,487356,450776,4541,0,,,,,572779,236369,,0,7587661,53070,402979,,,,,0,7673084,53747
12/16/2020,MI,11588,11018,93,570,,,3571,0,,818,7051776,49795,,,7051776,,476,482815,446752,4644,0,,,,,567561,236369,,0,7534591,54439,400859,,,,,0,7619337,55380
12/15/2020,MI,11495,10935,206,560,,,3674,0,,821,7001981,44313,,,7001981,,508,478171,442715,5391,0,,,,,561976,236369,,0,7480152,49704,397438,,,,,0,7563957,49711
12/14/2020,MI,11289,10752,94,537,,,3802,0,,860,6957668,80837,,,6957668,,514,472780,437985,7621,0,,,,,556578,236369,,0,7430448,88458,395683,,,,,0,7514246,90046
12/13/2020,MI,11195,10662,0,533,,,3893,0,,863,6876831,0,,,6876831,,518,465159,430780,0,0,,,,,547369,236369,,0,7341990,0,392309,,,,,0,7424200,0
12/12/2020,MI,11195,10662,230,533,,,3893,0,,863,6876831,51829,,,6876831,,518,465159,430780,4813,0,,,,,547369,236369,,0,7341990,56642,392309,,,,,0,7424200,57647
12/11/2020,MI,10965,10456,65,509,,,3893,0,,863,6825002,52723,,,6825002,,518,460346,426294,5626,0,,,,,541551,197750,,0,7285348,58349,390240,,,,,0,7366553,59768
12/10/2020,MI,10900,10395,194,505,,,3893,0,,863,6772279,53788,,,6772279,,518,454720,421137,6302,0,,,,,534506,197750,,0,7226999,60090,388121,,,,,0,7306785,60320
12/9/2020,MI,10706,10213,81,493,,,3925,0,,857,6718491,42314,,,6718491,,522,448418,415200,5342,0,,,,,527974,197750,,0,7166909,47656,385279,,,,,0,7246465,48099
12/8/2020,MI,10625,10138,203,487,,,4091,0,,849,6676177,53857,,,6676177,,512,443076,410295,6676,0,,,,,522189,197750,,0,7119253,60533,383571,,,,,0,7198366,61388
12/7/2020,MI,10422,9947,101,475,,,4122,0,,840,6622320,83838,,,6622320,,515,436400,404386,9824,0,,,,,514658,197750,,0,7058720,93662,380511,,,,,0,7136978,95601
12/6/2020,MI,10321,9854,0,467,,,4141,0,,855,6538482,0,,,6538482,,513,426576,395036,0,0,,,,,502895,197750,,0,6965058,0,378723,,,,,0,7041377,0
12/5/2020,MI,10321,9854,204,467,,,4141,0,,855,6538482,58590,,,6538482,,513,426576,395036,6308,0,,,,,502895,197750,,0,6965058,64898,378723,,,,,0,7041377,68207
12/4/2020,MI,10117,9661,82,456,,,4141,0,,855,6479892,58936,,,6479892,,513,420268,389032,9425,0,,,,,493278,165269,,0,6900160,68361,375457,,,,,0,6973170,68645
12/3/2020,MI,10035,9580,193,455,,,4175,0,,840,6420956,61820,,,6420956,,502,410843,380343,7957,0,,,,,483569,165269,,0,6831799,69777,373357,,,,,0,6904525,73467
12/2/2020,MI,9842,9405,83,437,,,4266,0,,837,6359136,38000,,,6359136,,509,402886,373197,7433,0,,,,,471922,165269,,0,6762022,45433,370666,,,,,0,6831058,43905
12/1/2020,MI,9759,9324,195,435,,,4310,0,,874,6321136,32742,,,6321136,,526,395453,366242,6511,0,,,,,466017,165269,,0,6716589,39253,369466,,,,,0,6787153,38421
11/30/2020,MI,9564,9134,97,430,,,4326,0,,851,6288394,92105,,,6288394,,531,388942,360449,10790,0,,,,,460338,165269,,0,6677336,102895,367228,,,,,0,6748732,106844
11/29/2020,MI,9467,9036,0,431,,,4097,0,,832,6196289,0,,,6196289,,472,378152,350021,0,0,,,,,445599,165269,,0,6574441,0,365318,,,,,0,6641888,0
11/28/2020,MI,9467,9036,110,431,,,4097,0,,832,6196289,52333,,,6196289,,472,378152,350021,8351,0,,,,,445599,165269,,0,6574441,60684,365318,,,,,0,6641888,59320
11/27/2020,MI,9357,8933,187,424,,,4097,0,,832,6143956,103826,,,6143956,,472,369801,341941,17368,0,,,,,438612,152267,,0,6513757,121194,362221,,,,,0,6582568,119731
11/26/2020,MI,9170,8761,0,409,,,4063,0,,843,6040130,0,,,6040130,,464,352433,324779,0,0,,,,,422707,152267,,0,6392563,0,359142,,,,,0,6462837,0
11/25/2020,MI,9170,8761,76,409,,,4063,0,,843,6040130,53499,,,6040130,,464,352433,324779,4687,0,,,,,422707,152267,,0,6392563,58186,359142,,,,,0,6462837,61805
11/24/2020,MI,9094,8688,154,406,,,4087,0,,865,5986631,64059,,,5986631,,445,347746,320506,6782,0,,,,,414401,152267,,0,6334377,70841,358188,,,,,0,6401032,73541
11/23/2020,MI,8940,8543,65,397,,,4047,0,,872,5922572,87340,,,5922572,,455,340964,314216,11943,0,,,,,404919,152267,,0,6263536,99283,356370,,,,,0,6327491,100523
11/22/2020,MI,8875,8478,0,397,,,3887,0,,835,5835232,0,,,5835232,,403,329021,302705,0,0,,,,,391736,152267,,0,6164253,0,354957,,,,,0,6226968,0
11/21/2020,MI,8875,8478,101,397,,,3887,0,,835,5835232,79727,,,5835232,,403,329021,302705,7840,0,,,,,391736,152267,,0,6164253,87567,354957,,,,,0,6226968,89883
11/20/2020,MI,8774,8377,57,397,,,3887,0,,835,5755505,73619,,,5755505,,403,321181,295177,10140,0,,,,,381580,138862,,0,6076686,83759,353571,,,,,0,6137085,85362
11/19/2020,MI,8717,8324,144,393,,,3824,0,,843,5681886,62253,,,5681886,,400,311041,285398,7983,0,,,,,369837,138862,,0,5992927,70236,352058,,,,,0,6051723,71228
11/18/2020,MI,8573,8190,62,383,,,3792,0,,809,5619633,50686,,,5619633,,396,303058,277806,6218,0,,,,,360862,138862,,0,5922691,56904,350177,,,,,0,5980495,58769
11/17/2020,MI,8511,8128,80,383,,,3752,0,,776,5568947,49431,,,5568947,,367,296840,272034,7886,0,,,,,352779,138862,,0,5865787,57317,349416,,,,,0,5921726,57670
11/16/2020,MI,8431,8049,55,382,,,3580,0,,749,5519516,102724,,,5519516,,343,288954,264576,13162,0,,,,,344540,138862,,0,5808470,115886,347813,,,,,0,5864056,117843
11/15/2020,MI,8376,7994,0,382,,,3241,0,,660,5416792,0,,,5416792,,272,275792,251813,0,0,,,,,329421,138862,,0,5692584,0,346627,,,,,0,5746213,0
11/14/2020,MI,8376,7994,68,382,,,3241,0,,660,5416792,62002,,,5416792,,272,275792,251813,7430,0,,,,,329421,138862,,0,5692584,69432,346627,,,,,0,5746213,72021
11/13/2020,MI,8308,7929,123,379,,,3241,0,,660,5354790,64181,,,5354790,,272,268362,244741,9179,0,,,,,319402,128981,,0,5623152,73360,344502,,,,,0,5674192,74496
11/12/2020,MI,8185,7811,49,374,,,3209,0,,628,5290609,60005,,,5290609,,253,259183,236225,7311,0,,,,,309087,128981,,0,5549792,67316,343088,,,,,0,5599696,68512
11/11/2020,MI,8136,7766,42,370,,,3093,0,,604,5230604,48231,,,5230604,,263,251872,229285,6620,0,,,,,300580,128981,,0,5482476,54851,341946,,,,,0,5531184,56015
11/10/2020,MI,8094,7724,86,370,,,2959,0,,595,5182373,52371,,,5182373,,257,245252,223277,6944,0,,,,,292796,128981,,0,5427625,59315,339921,,,,,0,5475169,61281
11/9/2020,MI,8008,7640,63,368,,,2815,0,,544,5130002,145044,,,5130002,,239,238308,216804,9305,0,,,,,283886,128981,,0,5368310,154349,339100,,,,,0,5413888,87225
11/8/2020,MI,7945,7578,0,367,,,2425,0,,484,4984958,0,,,4984958,,202,229003,207794,0,0,,,,,266355,128981,,0,5213961,0,338299,,,,,0,5326663,0
11/7/2020,MI,7945,7578,65,367,,,2425,0,,484,4984958,0,,,4984958,,202,229003,207794,6494,0,,,,,266355,128981,,0,5213961,6494,338299,,,,,0,5326663,75350
11/6/2020,MI,7880,7513,47,367,,,2425,0,,484,4984958,48339,,,4984958,,202,222509,201569,4246,0,,,,,266355,121093,,0,5207467,52585,336396,,,,,0,5251313,115366
11/5/2020,MI,7833,7470,51,363,,,2280,0,,475,4936619,55103,,,4936619,,194,218263,197806,6103,0,,,,,260736,121093,,0,5154882,61206,333334,,,,,0,5135947,0
11/4/2020,MI,7782,7419,21,363,,,2215,0,,470,4881516,38789,,,4881516,,199,212160,192096,4397,0,,,,,254431,121093,,0,5093676,43186,333334,,,,,0,5135947,43267
11/3/2020,MI,7761,7400,45,361,,,2059,0,,444,4842727,38754,,,4842727,,183,207763,187995,3437,0,,,,,249953,121093,,0,5050490,42191,332703,,,,,0,5092680,43252
11/2/2020,MI,7716,7357,17,359,,,1966,0,,428,4803973,89787,,,4803973,,180,204326,184889,6920,0,,,,,245455,121093,,0,5008299,96707,331012,,,,,0,5049428,96962
11/1/2020,MI,7699,7340,0,359,,,1728,0,,398,4714186,0,,,4714186,,167,197406,178180,0,0,,,,,238280,121093,,0,4911592,0,329831,,,,,0,4952466,0
10/31/2020,MI,7699,7340,34,359,,,1728,0,,398,4714186,45491,,,4714186,,167,197406,178180,4018,0,,,,,238280,121093,,0,4911592,49509,329831,,,,,0,4952466,50074
10/30/2020,MI,7665,7309,12,356,,,1728,0,,398,4668695,58021,,,4668695,,167,193388,174388,3345,0,,,,,233697,114939,,0,4862083,61366,328693,,,,,0,4902392,62103
10/29/2020,MI,7653,7298,47,355,,,1332,0,,320,4610674,48606,,,4610674,,153,190043,171220,4109,0,,,,,229615,114939,,0,4800717,52715,327051,,,,,0,4840289,107564
10/28/2020,MI,7606,7257,21,349,,,1332,0,,320,4562068,50942,,,4562068,,153,185934,167545,3590,0,,,,,225150,114939,,0,4748002,54532,323494,,,,,0,4732725,0
10/27/2020,MI,7585,7239,33,346,,,1332,0,,320,4511126,38407,,,4511126,,146,182344,164274,2675,0,,,,,221599,114939,,0,4693470,41082,323494,,,,,0,4732725,41246
10/26/2020,MI,7552,7211,30,341,,,1332,0,,320,4472719,68340,,,4472719,,140,179669,161907,4057,0,,,,,218760,114939,,0,4652388,72397,322810,,,,,0,4691479,72917
10/25/2020,MI,7522,7182,0,340,,,1182,0,,273,4404379,0,,,4404379,,121,175612,158026,0,0,,,,,214183,114939,,0,4579991,0,321825,,,,,0,4618562,0
